2021-05-05 16:31:23,894 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,894 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,898 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,900 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,901 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,901 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,902 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,902 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,902 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,903 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,903 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,903 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,904 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,904 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,905 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,905 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,912 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,913 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,913 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,914 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,914 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,917 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,922 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
