2021-05-05 16:51:24,048 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:24,048 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:24,052 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:24,059 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:24,059 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:24,064 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:24,065 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:24,066 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:24,067 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:24,069 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:24,071 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:24,073 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:24,074 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:24,075 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:24,075 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:24,076 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:24,076 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:24,077 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:24,083 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:24,084 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:24,088 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:24,088 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:24,088 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:24,089 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:24,089 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:24,089 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:24,090 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:24,090 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
