2021-05-05 09:33:32,440 | 3804 | proxy.proxy, handle_controller, 261 | DEBUG | waiting data ......
2021-05-05 09:33:32,440 | 3804 | proxy.proxy, get_controller_data, 81 | DEBUG | DataManager get data from controller b'\x04\x00\x00\x08\xcdz\x85\x8f'
2021-05-05 09:33:32,441 | 3804 | proxy.proxy, send_data, 189 | DEBUG | ready to send data to switch: b'\x04\x00\x00\x08\xcdz\x85\x8f'
2021-05-05 09:33:32,441 | 3804 | proxy.observable, notify_observers, 72 | DEBUG | notify data to observer: b'\x04\x00\x00\x08\xcdz\x85\x8f'
2021-05-05 09:33:32,442 | 3804 | api.observer, update, 35 | DEBUG | observed from observable: b'\x04\x00\x00\x08\xcdz\x85\x8f'
2021-05-05 09:33:32,443 | 3804 | api.observer, update, 40 | DEBUG | unpack message : 0
2021-05-05 09:33:32,444 | 3804 | proxy.proxy, send_data, 196 | INFO | Connection reset: Connection lost
2021-05-05 09:33:37,259 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:37,260 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:37,260 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:37,261 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:37,262 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:37,262 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:37,263 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:37,263 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:37,264 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:45,274 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41544) is connected
2021-05-05 09:33:45,276 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:45,278 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x008\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,279 | 3804 | proxy.proxy, set_switch_data, 47 | DEBUG | DataManager set data from switch b'\x04\x00\x00\x10\x00\x00\x008\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,280 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:45,286 | 3804 | proxy.proxy, get_switch_data, 56 | DEBUG | DataManager get data from switch b'\x04\x00\x00\x10\x00\x00\x008\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,287 | 3804 | proxy.proxy, send_data, 291 | DEBUG | ready to send data to controller: b'\x04\x00\x00\x10\x00\x00\x008\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,290 | 3804 | proxy.proxy, send_data, 294 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x008\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,295 | 3804 | proxy.observable, notify_observers, 72 | DEBUG | notify data to observer: b'\x04\x00\x00\x10\x00\x00\x008\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,297 | 3804 | api.observer, update, 35 | DEBUG | observed from observable: b'\x04\x00\x00\x10\x00\x00\x008\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,302 | 3804 | api.observer, update, 40 | DEBUG | unpack message : 0
2021-05-05 09:33:45,303 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41546) is connected
2021-05-05 09:33:45,307 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:45,308 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41548) is connected
2021-05-05 09:33:45,311 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:45,314 | 3804 | proxy.proxy, handle_controller, 263 | DEBUG | read b'\x04\x05\x00\x08\xcdz\x85\x90'
2021-05-05 09:33:45,315 | 3804 | proxy.proxy, set_controller_data, 72 | DEBUG | DataManager set data from controller b'\x04\x05\x00\x08\xcdz\x85\x90'
2021-05-05 09:33:45,325 | 3804 | proxy.proxy, handle_controller, 261 | DEBUG | waiting data ......
2021-05-05 09:33:45,326 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x009\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,327 | 3804 | proxy.proxy, set_switch_data, 47 | DEBUG | DataManager set data from switch b'\x04\x00\x00\x10\x00\x00\x009\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,329 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:45,335 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00:\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,343 | 3804 | proxy.proxy, set_switch_data, 47 | DEBUG | DataManager set data from switch b'\x04\x00\x00\x10\x00\x00\x00:\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,347 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:45,349 | 3804 | proxy.proxy, get_controller_data, 81 | DEBUG | DataManager get data from controller b'\x04\x05\x00\x08\xcdz\x85\x90'
2021-05-05 09:33:45,350 | 3804 | proxy.proxy, send_data, 189 | DEBUG | ready to send data to switch: b'\x04\x05\x00\x08\xcdz\x85\x90'
2021-05-05 09:33:45,350 | 3804 | proxy.observable, notify_observers, 72 | DEBUG | notify data to observer: b'\x04\x05\x00\x08\xcdz\x85\x90'
2021-05-05 09:33:45,351 | 3804 | api.observer, update, 35 | DEBUG | observed from observable: b'\x04\x05\x00\x08\xcdz\x85\x90'
